source_row,nombre_ie,cod_local,cod_modular,nivel,modalidad,distrito,rei,nombre_director,estado
793,HAPPY DAYS,294700,1242783,inicial_jard_n,EBR,ATE,SIN REI,VILCHEZ QUISPE CARMEN ROSARIO,active
794,LOS PORTALES DEL SABER,294682,1242544,inicial_jard_n,EBR,ATE,SIN REI,PECHO OJEDA DANIEL,active
795,SAN FRANCISCO DE ASIS,294639,1242627,inicial_jard_n,EBR,ATE,SIN REI,ALARCON ALTAMIRANO FREDY HUGO,active
796,INGENIO Y TRAVESURAS,294696,1242668,inicial_jard_n,EBR,ATE,SIN REI,RAMOS CORIA MARTHA DOLORES,active
797,SAN JUAN BOSCO,293244,1253277,secundaria,EBR,ATE,SIN REI,CASTRO MONCADA MARIA JESUS,active
798,CRISTO REINA I,294781,1253194,inicial_jard_n,EBR,ATE,SIN REI,VELASQUEZ REYNAGA ROSALINDA JANET,active
799,CRISTO REINA I,294781,1253236,primaria,EBR,ATE,SIN REI,VELASQUEZ REYNAGA ROSALINDA JANET,active
800,VIRGEN DEL ROSARIO DE SALAMANCA DE MONTERRICO,294804,1253392,primaria,EBR,ATE,SIN REI,CHICCHON HORNA DE RONDON ELSA CLEOFE,active
801,CORAZON DE JESUS,293282,1253319,secundaria,EBR,ATE,SIN REI,ASMAT ÑIQUE WALTER VALERIO,active
802,KIDS CREATE,308504,1253475,inicial_cuna_jard_n,EBR,LA MOLINA,SIN REI,CUCHO MARTINEZ ZULEMA MARIA,active
803,VIRGEN DEL ROSARIO DE SALAMANCA DE MONTERRICO,294804,1253350,inicial_jard_n,EBR,ATE,SIN REI,CHICCHON HORNA DE RONDON ELSA CLEOFE,active
804,RABINDRANATH TAGORE,718544,1242742,primaria,EBR,LURIGANCHO,SIN REI,ROJAS BARRERA CARMEN BEATRIZ,active
805,RABINDRANATH TAGORE,718544,1242700,inicial_jard_n,EBR,LURIGANCHO,SIN REI,ROJAS BARRERA CARMEN BEATRIZ,active
806,SAN ANTONIO DE PADUA,294663,1225275,inicial_jard_n,EBR,ATE,SIN REI,RAMIREZ SANCHEZ GLORIA EULALIA,active
807,SAN ANTONIO DE ABAD,294677,1242429,inicial_jard_n,EBR,ATE,SIN REI,JAPAY ZAVALA SANTAS ANGELICA,active
808,SANTA MARIA REINA,294724,1243708,inicial_jard_n,EBR,ATE,SIN REI,VEGA ROJAS NORMA,active
