"nombre_ie","cod_local","cod_modular","nivel","modalidad","distrito","rei","nombre_director","estado"
"ESTRELLITAS","3894832","3894832","inicial_jardin","EBR","CIENEGUILLA","SIN REI","NO REGISTRADO","active"
"PEQUEÑO ARQUITECTO MARCOS ALEGRE CHANG II","3894833","3894833","inicial_jardin","EBR","CIENEGUILLA","SIN REI","NO REGISTRADO","active"
"CRECIENDO MI HABILIDAD II","3895181","3895181","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"PEQUEÑOS TALENTOS","3895184","3895184","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"JESUS MAESTRO","3895848","3895848","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"PEQUEÑOS PASITOS","3895852","3895852","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"MI MUNDO FELIZ","3913237","3913237","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"MI MUNDO FELIZ I","3913255","3913255","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"NUESTRA SEÑORA DE GUADALUPE","3913966","3913966","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"CRISTO SALVADOR","3913968","3913968","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"UN NIÑO UN AMANECER","3920703","3920703","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"GOTITAS DE AMOR","3920712","3920712","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"MIS PEQUEÑOS ANGELITOS","3920719","3920719","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"RETOÑITOS","3920720","3920720","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"CRISTO MILAGROSO I","3920727","3920727","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"CRISTO MILAGROSO II","3920729","3920729","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"PRIMERA PARCELA I","3920730","3920730","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"CAMPO SOL","3920731","3920731","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"TULIPANES","3920732","3920732","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"PRIMERA PARCELA II","3920734","3920734","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"SANTA MARIA BAJA","3920735","3920735","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
